Nom,Type_1,Type_2,Icône,Description,Niveau,Attribut,ATK,DEF,Prix
Acteur des Abysses - Douce Madonna,Monstre,[ Démon / Pendule / Effet ],,"Pendule : 0
 
 Vous pouvez payer 1000 LP ; ajoutez 1 Monstre Pendule ""Acteur des Abysses"" (""Acteur des Abysses - Douce Madonna"" exclu) depuis votre Deck à votre main, et aussi, vous ne pouvez pas Invoquer Spécialement de monstres (Monstres Pendule ""Acteur des Abysses"" exclus) le reste de ce tour (même si cette carte quitte le Terrain). Vous ne pouvez utiliser cet effet de ""Acteur des Abysses - Douce Madonna"" qu'une fois par tour.-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------Gagne 100 ATK pour chaque Magie ""Script des Abysses"" dans votre Cimetière. Vous ne pouvez utiliser chacun des effets suivants de ""Acteur des Abysses - Douce Madonna"" qu'une fois par tour.
 ?Lorsqu'un Monstre Pendule que vous contrôlez est détruit au combat : vous pouvez Invoquer Spécialement cette carte depuis votre main.
 ?Si une Carte Magie ou effet de Magie ""Script des Abysses"" est activé : vous pouvez Invoquer Spécialement 1 Monstre Pendule ""Acteur des Abysses"" de max. Niveau 4 depuis votre Deck, mais renvoyez-le à la main durant la End Phase.",7.0,Ténèbres,1800,2500,"0,25"
Acteur des Abysses - Espoir Sauvage,Monstre,[ Démon / Pendule / Effet ],,"Pendule : 2 Une fois par tour : vous pouvez cibler 1 carte ""Acteur des Abysses"" dans votre autre Zone Pendule ; son Échelle Pendule devient 9 jusqu'à la fin de ce tour, et aussi, vous ne pouvez pas Invoquer Spécialement de monstres (monstres ""Acteur des Abysses"" exclus) le reste de ce tour (même si cette carte quitte le Terrain).-----------------------------------------------------------------------------------------------------------------------------------------------------------------Une fois par tour : jusqu'à la fin de ce tour, vous pouvez faire gagner 100 ATK à cette carte pour chaque monstre ""Acteur des Abysses"" de noms différents que vous contrôlez actuellement. Si cette carte est détruite au combat ou par un effet de carte : vous pouvez ajouter 1 carte ""Acteur des Abysses"" (""Acteur des Abysses - Espoir Sauvage"" exclu) depuis votre Deck à votre main. Vous ne pouvez utiliser cet effet de ""Acteur des Abysses - Espoir Sauvage"" qu'une fois par tour.",4.0,Ténèbres,1600,1200,4
Acteur des Abysses - Figurants,Monstre,[ Démon / Pendule / Effet ],,"Pendule : 3 Si votre adversaire contrôle un monstre : vous pouvez Invoquer Spécialement cette carte depuis votre Zone Pendule. Vous ne pouvez utiliser cet effet de ""Acteur des Abysses - Figurants"" qu'une fois par tour.---------------------------------------------------------------------------------------------------------------------Vous pouvez Sacrifier cette carte ; placez 1 Monstre Pendule ""Acteur des Abysses"" depuis votre Deck dans votre Zone Pendule, et aussi, le reste de ce tour, vous ne pouvez ni Invoquer Spécialement de monstres (monstres ""Acteur des Abysses"" exclus), ni activer l'Effet Pendule de ""Acteur des Abysses - Figurants"". Vous ne pouvez utiliser cet effet de ""Acteur des Abysses - Figurants"" qu'une fois par tour.",1.0,Ténèbres,100,100,"0,25"
Acteur des Abysses - Hyperdirecteur,Monstre,[ Démon / Lien / Effet ],,"1 Monstre Pendule ""Acteur des Abysses""
 Vous pouvez cibler 1 carte dans votre Zone Pendule ; Invoquez-la Spécialement, puis placez 1 Monstre Pendule ""Acteur des Abysses"" de nom différent, depuis votre Deck ou Extra Deck face recto dans votre Zone Pendule, et aussi, vous ne pouvez Invoquer ni Normalement ni Spécialement de monstres (monstres ""Acteur des Abysses"" exclus) le reste de ce tour. Vous ne pouvez utiliser cet effet de ""Acteur des Abysses - Hyperdirecteur"" qu'une fois par tour.",13.0,Ténèbres,800,LINK-1,0
Acteur des Abysses - Petite Étoile Brillante,Monstre,[ Démon / Pendule / Effet ],,"Pendule : 9 Vous ne pouvez pas Invoquer par Pendulation de monstres (monstres ""Acteur des Abysses"" exclus). Cet effet ne peut pas être annulé. Une fois par tour : vous pouvez cibler 1 monstre ""Acteur des Abysses"" que vous contrôlez ; il peut faire max. 3 attaques sur des monstres durant chaque Battle Phase ce tour, et aussi, les autres monstres que vous contrôlez ne peuvent pas attaquer le reste de ce tour (même si cette carte quitte le Terrain).--------------------------------------------------------------------------------------------------------------------- Non destructible au combat durant votre tour. Durant chaque Battle Phase, cette carte peut faire max. 3 attaques sur des monstres.",4.0,Ténèbres,1000,100,0
Acteur des Abysses - Prélude,Monstre,[ Démon / Pendule / Effet ],,"Pendule : 7 Si vous ne contrôlez aucun monstre : vous pouvez Invoquer Spécialement cette carte depuis votre Zone Pendule. Vous ne pouvez utiliser cet effet de ""Acteur des Abysses - Prélude"" qu'une fois par Duel.---------------------------------------------------------------------------------------- Gagne 1100 ATK si vous ne contrôlez aucun autre monstre. Une fois par tour : vous pouvez envoyer 1 Magie ""Script des Abysses"" depuis votre Deck au Cimetière ; ajoutez 1 Monstre Pendule ""Acteur des Abysses"" face recto depuis votre Extra Deck à votre main.",4.0,Ténèbres,1100,1000,0
Acteur des Abysses - Recrue Insolente,Monstre,[ Démon / Pendule / Effet ],,"Pendule : 2 Si un ou plusieurs monstres ""Acteur des Abysses"" que vous contrôlez vont être détruits au combat ou par un effet de carte de votre adversaire, vous pouvez détruire cette carte à la place.--------------------------------------------------------------------------------------------------------------------------------------La première fois que cette carte va être détruite au combat ou par un effet de carte chaque tour, elle n'est pas détruite. Si cette carte est détruite au combat, ou si cette carte dans la Zone Monstre de son propriétaire est détruite par un effet de carte de votre adversaire : vous pouvez Invoquer Spécialement 1 monstre ""Acteur des Abysses"" de max. Niveau 4 (""Acteur des Abysses - Recrue Insolente"" exclu) depuis votre Deck. Si cette carte dans la Zone Pendule est détruite : vous pouvez cibler 1 monstre de max. Niveau 4 contrôlé par votre adversaire ; détruisez-le.",4.0,Ténèbres,1700,1000,0
Acteur des Abysses - Soulagement Comique,Monstre,[ Démon / Pendule / Effet ],,"Pendule : 8
 
 Vous pouvez cibler 1 Monstre Pendule ""Acteur des Abysses"" que vous contrôlez et 1 monstre contrôlé par votre adversaire ; échangez le contrôle des deux monstres, puis détruisez cette carte. Vous ne pouvez utiliser cet effet de ""Acteur des Abysses - Soulagement Comique"" qu'une fois par tour.------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------Vous ne recevez aucun dommage de combat d'attaques impliquant cette carte. Une fois par tour, durant votre Standby Phase : donnez le contrôle de cette carte à votre adversaire. Une fois par tour, si le contrôle de cette carte face recto change : activez cet effet ; le propriétaire de cette carte peut détruire 1 Magie ""Script des Abysses"" Posée dans sa Zone Magie & Piège.",3.0,Ténèbres,1000,2000,"0,35"
Acteur des Abysses - Superstar,Monstre,[ Démon / Pendule / Effet ],,"Pendule : 3 Une fois par tour : vous pouvez Sacrifier 1 monstre ""Acteur des Abysses"", puis ciblez 1 Carte Magie ""Script des Abysses"" dans votre Cimetière ; ajoutez-la à votre main.-------------------------------------------------------------------------------------------------------------------------------------------------------------------------Lorsqu'elle est Invoquée Normalement ou Spécialement, les Cartes Magie/Piège ou effets de Magie/Piège de votre adversaire ne peuvent pas être activés. Une fois par tour : vous pouvez Poser 1 Carte Magie ""Script des Abysses"" directement depuis votre Deck, mais elle est envoyée au Cimetière durant la End Phase.",7.0,Ténèbres,2500,1800,0
Acteur des Abysses - Talon Malveillant,Monstre,[ Démon / Pendule / Effet ],,"Pendule : 1 Une fois par tour : vous pouvez Sacrifier 1 monstre ""Acteur des Abysses"", puis ciblez 1 monstre face recto contrôlé par votre adversaire ; jusqu'à la fin de ce tour (même si cette carte quitte le Terrain), il perd une ATK égale à l'ATK d'origine du monstre Sacrifié.------------------------------------------------------------------------Si cette carte est Invoquée Normalement ou Spécialement : vous pouvez cibler 1 monstre face recto contrôlé par votre adversaire ; jusqu'à la fin de ce tour, il perd 1000 ATK pour chaque monstre ""Acteur des Abysses"" que vous contrôlez actuellement. Lorsque cette carte détruit un monstre de votre adversaire au combat : vous pouvez cibler 1 Carte Magie ""Script des Abysses"" dans votre Cimetière ; Posez la carte.",8.0,Ténèbres,3000,2000,0
Acti Jadeglace,Monstre,[ Aqua / Effet ],,"Si cette carte est Invoquée Normalement ou Spécialement: vous pouvez envoyer 1 monstre EAU depuis votre main au Cimetière; piochez 1 carte. Si un ou plusieurs monstres EAU face recto que vous contrôlez sont détruits au combat ou par un effet de carte, tant que cette carte est dans votre Cimetière: vous pouvez bannir cette carte; Invoquez Spécialement 1 monstre ""Jadeglace"" (""Acti Jadeglace"" exclu) depuis votre main ou Cimetière. Vous ne pouvez utiliser chaque effet de ""Acti Jadeglace"" qu'une fois par tour.",4.0,Eau,1000,1000,"0,25"
Acubens de la Constellée,Monstre,[ Machine / Effet ],,"Lorsque cette carte est Invoquée Normalement ou Spécialement : tous les monstres ""Constellée"" que vous contrôlez actuellement gagnent 500 ATK.",4.0,Lumière,800,2000,0
Ad Libitum de Despia,Monstre,[ Elfe / Effet ],,"Durant votre Main Phase: jusqu'à la fin du tour de l'adversaire, vous pouvez faire gagner à tous les monstres actuellement sur le Terrain une ATK égale à leur propre Niveau x100. Si cette carte dans votre main ou sur votre Terrain est utilisée comme Matériel Fusion, et est envoyée au Cimetière ou est bannie: vous pouvez cibler 1 de vos monstres ""Despia"" (""Ad Libitum de Despia"" exclu) ou Monstres Fusion de min. Niveau 8, qui est banni ou dans votre Cimetière; Invoquez-le Spécialement. Vous ne pouvez utiliser chaque effet de ""Ad Libitum de Despia"" qu'une fois par tour.",8.0,Ténèbres,1500,2000,"0,25"
Adamante Métalphose,Monstre,[ Psychique / Fusion ],,"1 monstre ""Métalphose"" + 1 monstre avec max. 2500 ATK",5.0,Feu,2500,2500,"0,4"
Addition Mathmech,Monstre,[ Cyberse / Effet ],,"Vous pouvez cibler 1 monstre face recto sur le Terrain ; vous ne pouvez pas Invoquer Spécialement de monstres (monstres Cyberse exclus) depuis l'Extra Deck le reste de ce tour, et aussi, Invoquez Spécialement cette carte depuis votre main (mais elle ne peut pas attaquer ce tour), et si vous le faites, le monstre ciblé gagne 1000 ATK jusqu'à la fin de ce tour. Vous ne pouvez utiliser cet effet de ""Addition Mathmech"" qu'une fois par tour.",4.0,Feu,1000,1000,"0,75"
Adepte de Nephtys,Monstre,[ Magicien / Rituel / Effet ],,"Vous pouvez Invoquer Rituellement cette carte avec ""Réincarnation de Nephtys"". Vous ne pouvez utiliser chacun des effets suivants de ""Adepte de Nephtys"" qu'une fois par tour.
 ?Si cette carte est Invoquée Rituellement : vous pouvez activer cet effet ; Invoquez Spécialement 1 monstre ""Nephtys"" depuis votre Deck, et aussi, détruisez cette carte durant la End Phase de ce tour.
 ?Si cette carte est dans le Cimetière : vous pouvez détruire 1 carte ""Nephtys"" dans votre main, et si vous le faites, Invoquez Spécialement cette carte.",2.0,Vent,1200,1200,5
Administrateur de Flamme,Monstre,[ Cyberse / Lien / Effet ],,"2 monstres Cyberse
 Tous les Monstres Lien que vous contrôlez gagnent 800 ATK. Vous ne pouvez contrôler qu'1 ""Administrateur de Flamme"".",13.0,Feu,1200,LINK-2,"0,25"
Administrateur du Crépuscule,Monstre,[ Magicien / Synchro / Effet ],,"""Sorcier du Crépuscule"" + 1+ monstre non-Syntoniseur
 Si cette carte est Invoquée Spécialement, ou si un ou plusieurs autres monstres Magicien sont Invoqués Spécialement sur votre Terrain : vous pouvez cibler 1 carte dans le Cimetière de votre adversaire ; bannissez-la. Si cette carte est détruite au combat, ou si cette carte dans la Zone Monstre de son propriétaire est détruite par un effet de carte de l'adversaire : vous pouvez cibler 1 monstre Magicien de max. Niveau 4 dans votre Cimetière ; Invoquez-le Spécialement. Vous ne pouvez utiliser cet effet de ""Administrateur du Crépuscule"" qu'une fois par tour.",6.0,Lumière,2300,1400,"0,5"
Adorable Labrynth du Château d'Argent,Monstre,[ Démon / Effet ],,"Votre adversaire ne peut pas activer d'effets de monstre en réponse à l'activation de vos Cartes Piège Normal. Vous ne pouvez utiliser chacun des effets suivants de ""Adorable Labrynth du Château d'Argent"" qu'une fois par tour. Vous pouvez cibler 1 Piège Normal dans votre Cimetière ; Posez-le sur votre Terrain, mais il ne peut pas être activé sauf si vous contrôlez un monstre Démon. Si un ou plusieurs autres monstres quittent le Terrain par votre effet de Piège Normal (sauf durant la Damage Step) : vous pouvez détruire 1 carte dans la main de votre adversaire (au hasard) ou sur son Terrain.",8.0,Ténèbres,2900,1900,25
"Adoration, Héros Vision",Monstre,[ Guerrier / Fusion / Effet ],,"2 monstres ""HÉROS"" 
 Une fois par tour : vous pouvez cibler 1 monstre face recto contrôlé par votre adversaire et 1 monstre ""HÉROS"" face recto que vous contrôlez (cette carte exclue) ; jusqu'à la End Phase, le monstre ciblé de votre adversaire perd une ATK et DEF égales à l'ATK de votre monstre ciblé.",8.0,Ténèbres,2800,2100,0
Aegirine Jadeglace,Monstre,[ Aqua / Effet ],,"Si cette carte est Invoquée Normalement ou Spécialement : vous pouvez ajouter 1 Magie/Piège ""Jadeglace"" depuis votre Deck à votre main. Lorsque votre adversaire active une carte ou un effet qui cible cette carte, ou cible cette carte avec une attaque (Effet Rapide) : vous pouvez activer cet effet ; la prochaine fois que cette carte va être détruite au combat ou par un effet de carte ce tour, elle n'est pas détruite, et aussi, Invoquez Spécialement 1 monstre EAU (""Aegirine Jadeglace"" exclu) depuis votre main ou Cimetière, mais renvoyez-le à la main durant la End Phase. Vous ne pouvez utiliser chaque effet de ""Aegirine Jadeglace"" qu'une fois par tour.",3.0,Eau,1000,2000,4
"Adreus, Gardien de l'Armageddon",Monstre,[ Démon / Xyz / Effet ],,2 monstres de Niveau 5 Une fois par tour : vous pouvez détacher 1 Matériel Xyz de cette carte pour cibler 1 carte face recto contrôlée par votre adversaire ; détruisez-la.,5.0,Ténèbres,2600,1700,0
Aegirocassis de Création Jadeglace,Monstre,[ Aqua / Syntoniseur / Effet ],,"Tant que cette carte est équipée à un monstre, le monstre équipé gagne 400 ATK/DEF pour chaque monstre banni. Vous ne pouvez utiliser qu'1 des effets suivants de ""Aegirocassis de Création Jadeglace"" par tour, et uniquement une fois le tour. Si cette carte est dans votre main ou Cimetière (sauf durant la Damage Step) (Effet Rapide) : vous pouvez cibler 1 monstre ""Jadeglace"" que vous contrôlez ; équipez cette carte au monstre que vous contrôlez. Tant que cette carte est équipée à un monstre : vous pouvez Invoquer Spécialement cette carte.",7.0,Eau,2000,2000,"0,35"
Aeolo Préhistorique,Monstre,[ Dinosaure / Syntoniseur / Effet ],,"Vous pouvez Sacrifier cette carte pour sélectionner 1 monstre """"Préhistorique"""" de Niveau 4 ou moins dans votre Cimetière, excepté ""Aeolo Préhistorique"". Invoquez Spécialement ce monstre depuis le Cimetière.",1.0,Feu,200,200,0
Aéroboros Bête Méca Super Quantique,Monstre,[ Machine / Xyz / Effet ],,"2 monstres de Niveau 4
 Ne peut pas attaquer sauf si elle a du Matériel Xyz. Une fois par tour : vous pouvez détacher 1 Matériel Xyz de cette carte, puis ciblez 1 autre monstre face recto sur le Terrain ; changez-le en Position de Défense face verso. Cet effet peut être activé durant le tour de chaque joueur, si cette carte a ""Force Green Super Quantum"" comme Matériel Xyz. Une fois par tour : vous pouvez attacher 1 monstre ""Super Quantum"" depuis votre main ou Terrain à cette carte comme Matériel Xyz.",4.0,Vent,2200,2400,0
Aérofétrois,Monstre,[ Elfe / Syntoniseur / Effet ],,"Une fois par tour (Effet Rapide) : vous pouvez cibler 1 monstre face recto contrôlé par votre adversaire dans la colonne de cette carte ; déplacez cette carte que vous contrôlez dans une autre de vos Zones Monstre Main, et si vous le faites, déplacez le monstre de l'adversaire dans sa Zone Monstre Main dans la colonne de cette carte, puis placez 1 Compteur Brûlant sur lui. (Les monstres avec des Compteurs Brûlant perdent 200 ATK/DEF pour chaque Compteur Brûlant sur eux.)",1.0,Vent,200,200,"0,25"
